## MONTHS 1–3: ZERO-ALLOCATION C#, PYTHON INJECTION & INTEROP
### Week 1 — C# Fundamentals & Memory Stack
| Day | Study | Practice | Build & Push | Output | Self-Check |
| **5** | Benchmarking allocations. | Run BenchmarkDotNet on byte[] vs Span<T>. | Benchmark test suite. | Benchmark report. | Does the data confirm zero allocations? |
### Week 4 — Object-Oriented Boundaries & Interfaces
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Interfaces as hardware boundaries. | Define strict boundaries between logic and hardware. | N/A. | Notes on Interface-Driven Design. | Why do we hide hardware SDKs? |
| **2** | IScanner & IDeviceConnection. | Draft strict C# interface contracts. | Interface definitions. | C# interface contracts. | Are the contracts free of vendor-specific logic? |
| **3** | Mock implementations. | Build a MockBiometricScanner implementing IScanner. | Mock hardware class. | Working mock scanner. | Does the mock behave like real hardware? |
| **4** | Dependency Injection (DI). | Inject the mock scanner into a gateway service. | DI Container registration. | DI setup code. | Is manual object creation removed? |
| **5** | Swapping implementations. | Swap the mock scanner for a dummy class. | Updated DI configuration. | Swapped implementation test. | Explain "programming against your boundary." |
### Week 5 — Modern Native Interop ([LibraryImport])
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | [LibraryImport] and AOT marshaling. | Discard [DllImport]; learn compile-time generators. | N/A. | Notes on source generators. | Why is AOT marshaling required for modern Edge? |
| **2** | Unmanaged C++ libraries. | Create a dummy .dll/.so biometric SDK. | Compiled C++ binary. | C++ SDK dummy file. | Does the unmanaged file compile? |
| **3** | C# Wrappers. | Write a LibraryImport wrapper for the C++ function. | C# interop wrapper. | Working interop code. | Does C# call the C++ function safely? |
| **4** | Complex struct marshaling. | Marshal fingerprint metadata from C to C#. | Marshaling logic mapped to C fields. | Marshaling layer. | Is memory alignment correct? |
| **5** | Pointer cleanup & exceptions. | Handle execution exceptions across boundaries. | Safe unmanaged cleanup logic. | Pointer cleanup strategy. | Verify unmanaged memory is freed safely. |
### Week 6 — The Python Injection & AI Workflow
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Python syntax and scripting. | Learn variables, dicts, and basic data manipulation. | N/A. | Python script fundamentals. | Can I write a basic Python function? |
| **2** | Data generation scripting. | Write a script to generate 50k JSON telemetry lines. | Python data generator. | Working Python script. | Is the JSON schema correct? |
| **3** | AI-assisted glue code. | Use an LLM to generate an ML preprocessing script. | AI-generated Python glue code. | Preprocessing script. | Did I review the AI code for edge-cases? |
| **4** | C# to Python execution. | Execute the Python script from C# via Process.Start. | C# process orchestration logic. | C# Python runner. | Does C# capture the Python output? |
| **5** | Argument passing. | Pass variables between C# and Python. | Bidirectional argument passing. | Integration test note. | Document Python's role strictly as "Glue Code." |
### Week 7 — async/await and Task
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Task, async, await, exceptions. | Map main thread vs worker thread behavior. | N/A. | Notes on thread flow. | What blocks the main thread? |
| **2** | Non-blocking methods. | Write async methods for connect, capture, and upload. | Asynchronous C# methods. | Async C# code. | Are the methods truly non-blocking? |
| **3** | Simulating slow hardware. | Use Task.Delay to mimic network/device lag. | Slow hardware simulator. | Test logs showing unblocked threads. | Is the application still responsive? |
| **4** | End-to-end refactor. | Refactor the scanner workflow to use async everywhere. | Refactored async gateway. | Committed refactored logic. | Are there any hidden Task.Wait calls? |
| **5** | Partial failures. | Test timeouts and dropped tasks. | Exception handling for async. | Failure test documentation. | Prove the gateway survives stalled hardware. |
### Week 8 — Cancellation and Timeouts
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | CancellationToken patterns. | Study graceful aborts and timeout boundaries. | N/A. | Notes on timeout boundaries. | How does a token cancel a running task? |
| **2** | Cancellable methods. | Add tokens to capture and upload methods. | Token-enabled methods. | Methods accepting CancellationToken. | Do the methods listen for the token? |
| **3** | Simulating aborts. | Trigger network timeouts and user cancellations. | Cancellation tests. | Logs showing graceful aborts. | Did the system recover cleanly? |
| **4** | Flow integration. | Integrate cancellation into global app cleanup logic. | Gateway cancellation architecture. | Committed architecture code. | Are resources freed on cancel? |
| **5** | Leaked tasks. | Test for background tasks that refuse to die. | Leak detection scripts. | Task cleanup report. | Explain exactly where cancellation stops. |
### Week 9 — High-Throughput Queues (System.Threading.Channels)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | System.Threading.Channels. | Learn async producer/consumer queues and capacity. | N/A. | Notes on lock contention vs channels. | Why use Channels over lock()? |
| **2** | Producer/Consumer setup. | Thread A produces data, Thread B consumes it. | Producer/Consumer queue. | Working Channel implementation. | Are threads safely decoupled? |
| **3** | High-velocity simulation. | Simulate rapid biometric scans filling the queue. | Load testing script. | Load test logs. | Does the queue handle the volume? |
| **4** | Backpressure handling. | Implement bounded channels to drop or block data. | Bounded channel logic. | Backpressure management code. | What happens when the consumer is too slow? |
| **5** | Shutdown draining. | Test queue draining during application shutdown. | Graceful shutdown logic. | Shutdown behavior report. | Are remaining messages processed before exit? |
### Week 10 — Serial, UART, and The Hardware Handshake
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | System.IO.Ports.SerialPort. | Learn baud rates, parity, stop bits. | N/A. | Notes on UART communication. | What causes serial data corruption? |
| **2** | Virtual COM port connection. | Connect C# to a Wokwi simulator or local loopback. | Serial port reader. | C# code reading a serial port. | Is the port opening correctly? |
| **3** | String interception. | Intercept raw strings like TEMP:24.5,HUM:60. | Interception logic. | Serial string interception code. | Can I capture the raw buffer? |
| **4** | DTO Serialization. | Parse the messy string into a canonical JSON DTO. | DTO mapping logic. | Clean DTO conversion code. | Is the messy string successfully structured? |
| **5** | Noisy lines. | Handle truncated or corrupted serial lines. | Error-tolerant parser. | Noise-handling logic. | Prove extraction works despite hardware noise. |
### Week 11 — TCP Sockets & System.IO.Pipelines
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | System.IO.Pipelines. | Study PipeReader, PipeWriter, framing, delimiters. | N/A. | Notes on socket buffering. | Why do Pipelines replace manual byte arrays? |
| **2** | TCP Server with Pipelines. | Write a high-performance TCP server utilizing Pipelines. | TCP Pipeline server. | Working server code. | Is buffer management automated? |
| **3** | Payload simulation. | Simulate messages with length, command, payload, checksums. | Simulated TCP traffic generator. | Traffic simulation script. | Are checksums correctly formed? |
| **4** | Parser integration. | Integrate the packet parser into the gateway. | TCP integration logic. | Working TCP integration. | Does it decode the simulated traffic? |
| **5** | Fragmented packets. | Test broken frames and fragmented network packets. | Fragmentation test logic. | Test results on fragmented packets. | Does the pipeline wait for the full frame? |
### Week 12 — The Local TCP Gateway Concept
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Gateway translation & filtering. | Map the boundary logic from edge to backend. | N/A. | System diagram (Device -> Gateway -> Backend). | What is the gateway's primary responsibility? |
| **2** | Refactor to canonical events. | Refactor local service to emit unified canonical events. | Unified gateway architecture. | Refactored gateway code. | Are vendor specifics stripped out? |
| **3** | Validation boundaries. | Add strict protocol separation and data validation. | Validation boundary code. | Validation logic implementation. | Does the gateway catch malformed data? |
| **4** | Rejection rules. | Implement rules for discarding bad payloads. | Rejection logging logic. | Logging and rejection code. | Are bad payloads logged efficiently? |
| **5** | Invalid IDs. | Test behavior with unauthorized or invalid device IDs. | Unauthorized access simulation. | Security test results. | Prove the gateway shields the cloud from bad data. |
## MONTHS 4–7: EDGE ORCHESTRATION & INDUSTRIAL PROTOCOLS
### Week 13 — Linux Systemd & Headless Daemons
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | .NET Generic Host on Linux. | Study worker lifecycles and background hosting. | N/A. | Notes on daemons vs console apps. | Why run as a daemon? |
| **2** | Worker Service build. | Scaffold the C# gateway as a Worker Service. | Background service. | Working background service code. | Does it run silently? |
| **3** | UseSystemd() integration. | Install Microsoft.Extensions.Hosting.Systemd. | Systemd integration code. | Code utilizing UseSystemd(). | Is it bound to Linux service managers? |
| **4** | Journal logging. | Configure the daemon to route output to Linux journal. | Logging configuration. | Logging integration code. | Can logs be viewed via journalctl? |
| **5** | Graceful shutdowns. | Simulate power loss and Linux SIGTERM signals. | Shutdown testing. | Test logs on graceful exit. | Explain how Linux manages the C# process. |
### Week 14 — Containerization (Docker)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Image layers & isolation. | Learn Docker network and runtime basics. | Base Dockerfile. | Base Dockerfile created. | What keeps image sizes small? |
| **2** | Alpine Linux multi-stage. | Optimize the image using multi-stage builds. | Optimized Dockerfile. | Optimized Dockerfile. | Did the image size drop significantly? |
| **3** | Volume mounting. | Mount volumes for local SQLite database persistence. | Volume binding logic. | Docker run commands mapped. | Does data survive container destruction? |
| **4** | Docker Compose. | Spin up the gateway and a mock database together. | docker-compose.yml. | Compose file committed. | Do the services network locally? |
| **5** | Startup failure. | Test auto-restart policies on container crash. | Crash simulation. | Test results on restart policy. | Prove the app survives container restarts. |
### Week 15 — K3s (Lightweight Edge Kubernetes)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | K3s vs standard Kubernetes. | Study why DACH/KSA demands K3s for industrial PCs. | N/A. | Notes on K3s architecture. | Why not use full Kubernetes on the edge? |
| **2** | Local K3s installation. | Install a local K3s cluster. | K3s environment. | Running K3s cluster. | Is kubectl responding locally? |
| **3** | K8s YAML translation. | Translate Compose file into Deployment/Service YAMLs. | Kubernetes YAMLs. | Working YAML files. | Are ports and volumes mapped correctly? |
| **4** | K3s Deployment. | Deploy the C# Gateway into the local cluster. | Gateway running as a Pod. | K8s deployment logs. | Is the pod status 'Running'? |
| **5** | Pod eviction. | Test pod eviction and rescheduling manually. | Eviction simulation. | Rescheduling behavior notes. | Explain K3s node management on a factory floor. |
### Week 16 — CI/CD & GitHub Actions
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | GitHub Actions workflows. | Setup triggers, runners, and stages. | Base CI pipeline .yml. | Basic CI pipeline file. | Does it trigger on push? |
| **2** | Automated unit tests. | Run Span<T> parser tests automatically. | Automated test steps. | CI file with testing logic. | Does it block failed tests? |
| **3** | Docker image building. | Automate container build on push to main. | Container build steps. | Pipeline producing an image. | Is the image tagged properly? |
| **4** | Multi-architecture builds. | Cross-compile the image for ARM64 and x64. | Multi-arch CI pipeline. | Pipeline handling multiple architectures. | Can this deploy to a Raspberry Pi? |
| **5** | Broken build tracing. | Intentionally break code and trace the pipeline failure. | Failure test. | Logs showing rejected build. | Verify deployment baseline is fully automated. |
### Week 17 — DACH Target: Beckhoff TwinCAT 3 & ADS
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | TwinCAT 3 & ADS Protocol. | Install TwinCAT 3 XAE locally. Study Port 851. | Virtual PLC setup. | Local TwinCAT running. | How does ADS route over TCP/IP? |
| **2** | Structured Text (ST). | Write a PLC program simulating machine state. | Working virtual PLC. | ST code committed. | Is the virtual machine changing states? |
| **3** | Beckhoff.TwinCAT.Ads. | Import the NuGet package into your service. | C# ADS Client. | C# ADS Client setup. | Can C# connect to the AMS Net ID? |
| **4** | Read/Write PLC memory. | Write logic to read and mutate PLC variables. | C# ADS read/write logic. | Interop integration code. | Are data types mapped perfectly? |
| **5** | Reactive Extensions (Rx). | Subscribe to real-time PLC variable changes (No polling). | Reactive event listener. | Working Rx subscription. | Prove you can control Mittelstand machinery via C#. |
### Week 18 — KSA Target: BACnet, KNX, & Smart Buildings
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | BACnet/IP & KNX. | Study protocols for NEOM/Smart City infrastructure. | N/A. | Notes on building automation. | How does BACnet differ from Modbus? |
| **2** | BACnet Simulator. | Spin up a software BACnet simulator (e.g., Yabe). | Running BACnet simulator. | Simulator configuration. | Are device objects visible? |
| **3** | C# BACnet client. | Read temperature, HVAC, and occupancy states via C#. | C# BACnet integration. | C# client code. | Is C# pulling live building data? |
| **4** | JSON DTO Translation. | Translate the BACnet payload into the canonical DTO. | BACnet to JSON translator. | Translation layer code. | Is the DTO standard across vendors? |
| **5** | Protocol timeouts. | Test polling latency and offline sensors. | Timeout tests. | Latency report. | Prove you can integrate Saudi smart buildings. |
### Week 19 — MQTT Fundamentals
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | MQTT Broker, QoS, Sessions. | Learn topics, pub/sub, retained messages. | N/A. | Notes on MQTT mechanics. | What is QoS 2 overhead? |
| **2** | Publisher/Subscriber. | Write a simple C# publisher/subscriber using MQTTnet. | Working MQTT client. | C# MQTTnet implementation. | Are messages traversing the broker? |
| **3** | Real-time events. | Simulate biometric events flowing through MQTT. | Real-time publishing logic. | Telemetry generation code. | Is JSON structured correctly? |
| **4** | Subscription recovery. | Configure reconnect behavior. | Resilient connection logic. | C# reconnect loops. | Does it reconnect automatically? |
| **5** | Retained messages. | Test broker outages and retained states. | Broker failure tests. | Retained state notes. | Explain QoS 0, 1, and 2 tradeoffs. |
### Week 20 — OPC UA Basics
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | OPC UA Node Trees. | Learn security models and rich metadata vs Modbus. | N/A. | Notes on OPC UA vs polling. | Why is OPC UA the Industry 4.0 standard? |
| **2** | C# OPC UA Client. | Study or write a simple OPC UA client. | C# OPC UA client. | OPC UA connection code. | Are certificates exchanged? |
| **3** | Canonical Mapping. | Map an OPC UA device status concept into your DTO. | Translation layer. | Canonical mapping code. | Is the hierarchy flattened? |
| **4** | Architecture Comparison. | Compare OPC UA modeling to Beckhoff ADS approach. | N/A. | Architecture comparison note. | Which is faster for telemetry? |
| **5** | Node structure changes. | Test dynamic changes in the hardware node tree. | Node parsing tests. | Resilience report. | Document why OPC UA semantics win. |
## MONTHS 8–10: CQRS, KAFKA, & OBSERVABILITY
### Week 21 — SQLite Edge Queuing (Offline Survival)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Local durable queues. | Learn why edge agents buffer during factory network drops. | N/A. | SQLite schema design. | Why not use RAM for buffering? |
| **2** | SQLite Integration. | Create a local DB and table for queued biometric events. | C# SQLite integration. | SQLite database code. | Is the file saved to the mounted Docker volume? |
| **3** | Disk Persistence. | Save incoming events to disk *before* uploading. | Local persistence logic. | Edge queue implementation. | Is data written instantly? |
| **4** | State Management. | Implement pending, sent, and failed states. | State management code. | Row update logic. | How do you prevent race conditions on rows? |
| **5** | App restarts. | Test restarts and verify queued events survive. | Crash recovery test. | Data survival report. | Prove the device loses zero data during an outage. |
### Week 22 — Sync Recovery & State Discipline
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Sync loop logic. | Write a loop that uploads events when connection returns. | Background sync process. | Sync loop code. | Does the loop throttle to prevent flooding? |
| **2** | Cloud acknowledgments. | Add mark-sent behavior *only* after cloud confirmation. | Acknowledgment logic. | Safe-state update code. | Are unacknowledged events retried? |
| **3** | Network loss simulation. | Drop network via Docker/OS and verify the queue builds. | Outage simulation. | Load test logs during outage. | Is the SQLite DB expanding? |
| **4** | Queue draining. | Reconnect the network and verify the queue drains. | Reconnect tests. | Drain test logs. | Did everything arrive upstream? |
| **5** | Partial batch failures. | Test scenario where half a batch fails upload. | Batch failure logic. | Exact-once replay contract. | Document exactly-once vs at-least-once limits. |
### Week 23 — The Hybrid CQRS Database Pivot
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | CQRS Architecture. | Spin up PostgreSQL. Study EF Core vs Dapper logic. | N/A. | CQRS diagram. | Why split reads and writes? |
| **2** | EF Core (Write Model). | Implement EF Core for relational device configurations. | EF Core Context. | Configuration models. | Are relations mapped correctly? |
| **3** | Code-First Migrations. | Build the device registry tables using EF Core. | Migrated Postgres schema. | Database tables. | Did the migrations execute cleanly? |
| **4** | Dapper (Read/Ingest). | Implement Dapper for high-velocity time-series ingestion. | Dapper SQL ingestion logic. | Micro-ORM integration. | Is raw SQL faster than tracking? |
| **5** | Benchmarking. | Benchmark EF Core insert speed vs Dapper insert speed. | Benchmark test. | Performance comparison report. | Document why Dapper is required for telemetry. |
### Week 24 — Apache Kafka Event Streaming
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Kafka Clusters. | Spin up local Kafka. Study topics and consumer groups. | Running Kafka environment. | Local Kafka cluster. | What is a partition? |
| **2** | Confluent.Kafka Producer. | Write a Producer to publish biometric events. | Kafka Producer implementation. | C# Publisher code. | Are messages routing to the topic? |
| **3** | Kafka Consumer. | Write a Consumer to ingest Kafka streams into Postgres. | Kafka Consumer implementation. | C# Consumer code. | Is the data hitting the DB? |
| **4** | Consumer Group scaling. | Test load balancing with two running C# consumer instances. | Scalability tests. | Load balancing logs. | Do the instances share the partition load? |
| **5** | Offset rewinds. | Simulate offset rewinds and partition failures. | Failure tests. | System resilience report. | Prove you can handle enterprise data securely. |
### Week 25 — Time-Series Observability (InfluxDB)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | InfluxDB Deployment. | Deploy InfluxDB. Learn time-series vs relational modeling. | Running InfluxDB container. | Time-series database. | Why use NoSQL for telemetry? |
| **2** | Numerical Telemetry. | Route latency, CPU, and scanner status to InfluxDB. | C# InfluxDB client. | Telemetry routing code. | Is data structured by time? |
| **3** | High-Cardinality Tags. | Structure buckets and tags for high-cardinality queries. | Tagging schema. | Tag implementation. | Will these tags slow down queries? |
| **4** | Retention Policies. | Set up policies to automatically drop old telemetry. | Data lifecycle configuration. | Retention settings. | Is old data purging automatically? |
| **5** | Heavy Load Ingestion. | Test InfluxDB ingestion under heavy load. | Load tests. | Performance metrics. | Explain why Postgres isn't used for raw telemetry. |
### Week 26 — Dashboards (Grafana) & Structured Logging
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Grafana connections. | Connect Grafana to InfluxDB and Postgres sources. | Running Grafana instance. | Data source connections. | Are queries returning data? |
| **2** | OEE Dashboards. | Build Overall Equipment Effectiveness dashboard for hardware. | Operational dashboard. | Grafana JSON export. | Can an operator understand this screen? |
| **3** | Serilog & Correlation IDs. | Implement structured logging in C# using Serilog. | Serilog configuration. | Structured logging setup. | Why use JSON logs instead of text? |
| **4** | Unified tracing. | Integrate logging across Kafka and Edge Gateway. | Unified log tracing. | Cross-service logs. | Do correlation IDs match across services? |
| **5** | Visual debugging. | Simulate a failure and trace the ID from edge to DB. | Incident tracing test. | Debugging report. | Prove you can debug the system visually. |
## MONTHS 11–13: CLOUD SOVEREIGNTY & CYBERSECURITY
### Week 27 — Azure IoT Edge Runtime
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | edgeAgent & edgeHub. | Study the difference between IoT Hub and IoT Edge. | N/A. | Notes on edge orchestration. | Why deploy logic *to* the edge? |
| **2** | Edge Provisioning. | Provision an Azure IoT Edge device in the cloud. | Provisioned Edge identity. | Azure setup documentation. | Is the device online in Azure? |
| **3** | Edge Modules. | Package your C# Gateway as a custom IoT Edge Module. | IoT Edge deployment manifest. | Deployment JSON file. | Are container routes defined? |
| **4** | Remote Deployment. | Deploy the module remotely from Azure to local runtime. | Successful remote deployment. | Verification logs. | Did the cloud push the container? |
| **5** | Message Routing. | Route messages through edgeHub to the cloud. | Cloud routing tests. | End-to-end data validation. | Document how central IT pushes updates to remote factories. |
### Week 28 — Dual-Cloud Routing (AWS IoT Core for KSA)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | KSA Data Residency. | Study AWS IoT Core and AWS Bahrain Region controls. | N/A. | Notes on Sovereign Cloud. | Why must KSA data stay in the region? |
| **2** | X.509 Device Auth. | Provision AWS IoT Core. Generate certificates. | AWS certificates loaded locally. | Key management setup. | Are keys stored securely? |
| **3** | Parallel Publishing. | Implement MQTT publishing to both Azure and AWS routes. | Multi-cloud routing logic. | Gateway C# code. | Is the gateway cloud-agnostic? |
| **4** | AWS IoT Rules. | Route data into an S3 bucket or DynamoDB via rules. | AWS backend integration. | Cloud architecture setup. | Is AWS receiving telemetry? |
| **5** | Cross-Cloud Failover. | Test failover from Azure to AWS. | Failover tests. | Failover logic confirmed. | Explain how you maintain KSA data residency. |
### Week 29 — DACH Target: IEC 62443 Compliance
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | IEC 62443-4-1. | Study Secure Product Development Lifecycle principles. | N/A. | Notes on secure-by-design. | What are the mandatory security checks? |
| **2** | Zones & Conduits. | Map architecture into strict Industrial vs Enterprise zones. | Zone & Conduit network diagram. | Architecture diagram. | Are the boundaries isolated? |
| **3** | SAST in CI/CD. | Implement Static Application Security Testing in GitHub. | Automated security scanning. | CI pipeline update. | Does it block insecure code? |
| **4** | Software Bill of Materials. | Generate an SBOM for the C# application to comply with CRA. | Exported SBOM XML/JSON. | SBOM file. | Are all dependencies tracked? |
| **5** | Threat Modeling. | Document Spoofing, Tampering, Replay mitigations. | Threat model report. | Security documentation. | Prove the architecture complies with the EU Cyber Resilience Act. |
### Week 30 — KSA Target: NCA OTCC-1:2022 Compliance
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | NCA OTCC-1:2022. | Study Saudi National Cybersecurity Authority OT controls. | N/A. | Notes on KSA asset management. | What triggers an NCA audit? |
| **2** | Supply Chain Risks. | Audit third-party SDK dependencies. | Dependency audit report. | Security audit logs. | Are there compromised libraries? |
| **3** | Encryption at Rest. | Encrypt local edge data (SQLite Cipher). | Encryption-at-rest implementation. | Encrypted DB code. | Can the DB be read without a key? |
| **4** | Remote Access Controls. | Verify network segmentation and remote firewall rules. | Firewall/routing documentation. | Network policy map. | Is arbitrary external access blocked? |
| **5** | Compliance Matrix. | Finalize the NCA compliance matrix for your portfolio. | NCA compliance matrix. | Portfolio security asset. | Explain how you prevent a 25M SAR fine. |
### Week 31 — Machine Trust (mTLS)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | mTLS & Machine Identity. | Learn mutual TLS and client certificates at scale. | N/A. | Notes on certificate lifecycles. | Why are API keys insufficient? |
| **2** | Broker Authentication. | Configure local MQTT/Kafka to require client certificates. | Strict broker authentication. | Configuration files. | Does it reject uncertified connections? |
| **3** | C# mTLS Client. | Update edge gateway to authenticate using mTLS. | mTLS C# client configuration. | Secure client code. | Is the handshake successful? |
| **4** | Spoofing Scenarios. | Test invalid or missing client certs to trigger denial. | Access denied logs. | Security test results. | Was the rogue agent blocked? |
| **5** | Certificate Rotation. | Document rotating client certificates without dropping comms. | Rotation strategy document. | Lifecycle management plan. | Prove API keys are insufficient for edge hardware. |
### Week 32 — Multi-Site Topology & Configuration Profiles
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Environment config strategy. | Study site-specific configuration and defaults. | N/A. | JSON config layering approach. | How does dev differ from prod? |
| **2** | Site Deployment Profiles. | Model Site A (Stuttgart) and Site B (Riyadh) logic. | Distinct site deployment profiles. | Config files. | Are regional endpoints defined? |
| **3** | Multi-Tenant Database. | Add site-aware routing grouping into PostgreSQL. | Multi-tenant database design. | Schema updates. | Can you query by site? |
| **4** | Independent Publishing. | Simulate multiple edge gateways publishing independently. | End-to-end multi-site load test. | Load test logs. | Does the backend handle parallel streams? |
| **5** | Offline Site Simulation. | Test Site A going offline while Site B continues seamlessly. | Isolation testing. | Resilience report. | Explain how central architecture handles global sites. |
## MONTHS 14–19: CAPSTONE, UI, C4 MODELS, & MARKET EXECUTION
### Week 33 — The Local Configuration UI (React & TypeScript)
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Vite & React. | Scaffold a lightweight React/TypeScript frontend. | Running React development server. | Frontend repository. | Is the build tool running? |
| **2** | C# Minimal APIs. | Build a local REST API on the gateway to serve config. | C# Minimal API endpoints. | Backend API code. | Are endpoints returning JSON? |
| **3** | Operational Dashboard. | Create a UI to set MQTT endpoints and view local logs. | Operational React UI components. | React components. | Is the UI intuitive for a technician? |
| **4** | Full Stack Connection. | Connect the React frontend to the C# gateway API. | Full stack local configuration flow. | Integration code. | Does changing the UI update the backend? |
| **5** | Kestrel Serving. | Serve React static files directly from the C# Kestrel server. | Hosted application. | Deployment logic. | Prove an OT tech can configure the system locally. |
### Week 34 — Architecture Diagrams (C4 Model) & ADRs
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | C4 Context Diagram. | Draw Hardware -> Gateway -> Dual Cloud -> UI. | Context Level Diagram. | High-level diagram. | Is the big picture clear? |
| **2** | C4 Container Diagram. | Draw K3s, Postgres, Kafka, and C# modules. | Container Level Diagram. | Microservices diagram. | Are the technology choices visible? |
